customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TenureScore,MonthlyScore,TotalScore,ContractScore,CustomerScore,Segment,HealthScore,RiskLevel,Recommendation
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,0.8055555555555555,0.8169154228855721,0.6541428703021372,50,74.72624549201915,Loyal,67.77396976750367,Medium Risk,Send engagement campaign
0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,0.6805555555555555,0.8502487562189055,0.5798982129697864,0,67.42312586539178,Loyal,47.6678533341949,Medium Risk,Send engagement campaign
5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,0.3472222222222222,0.8681592039800995,0.3092817336035373,0,43.623342312632374,Potential Loyalist,31.171098066456594,High Risk,Offer retention discount
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,0.9583333333333333,0.945273631840796,0.9090767778187179,100,93.60187708289797,Champion,95.65602392307989,Low Risk,Provide loyalty rewards
8191-XWSZG,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,0.7222222222222222,0.023880597014925342,0.11778624723655123,50,34.07795071864945,At Risk,39.969531802804326,High Risk,Offer retention discount
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,0.986111111111111,0.8800995024875623,0.8500195744288874,100,91.04721747135119,Champion,94.03531523136894,Low Risk,Provide loyalty rewards
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,0.1388888888888889,0.36766169154228856,0.06083617354458365,0,15.342236328184674,Lost,11.202496378415585,High Risk,Offer retention discount
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,0.29166666666666663,0.7144278606965173,0.21450119749447313,0,34.535271780375936,At Risk,24.828947847809587,High Risk,Offer retention discount
8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,0.013888888888888888,0.21293532338308457,0.004565447678703022,0,4.996879930365368,Lost,3.72483270938051,High Risk,Offer retention discount
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,0.16666666666666666,0.015422885572139305,0.0232878131908622,50,7.906636905743941,Lost,20.813538613353643,High Risk,Offer retention discount
1066-JKSGK,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,0.013888888888888888,0.018905472636815884,0.002320145541635962,0,1.0264708299573118,Lost,0.7582523947598039,High Risk,Offer retention discount
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,0.8055555555555555,0.4144278606965174,0.4035901805453206,100,56.6543866579654,Potential Loyalist,70.47283909074744,Low Risk,Provide loyalty rewards
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,0.6805555555555555,0.4114427860696518,0.3420113301400148,0,49.131531149215846,Potential Loyalist,35.13859171121181,High Risk,Offer retention discount
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,0.41666666666666663,0.3686567164179104,0.1762389462048637,0,31.089358843219422,At Risk,22.43582440139025,High Risk,Offer retention discount
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,0.6527777777777778,0.8069651741293532,0.5468346997052321,0,64.12380258190747,Loyal,45.35867843790444,Medium Risk,Send engagement campaign
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,0.013888888888888888,0.11890547263681589,0.0034773397199705236,0,3.0727585970906945,Lost,2.287182249218168,High Risk,Offer retention discount
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,1.0,0.7164179104477612,0.7334020357406044,100,83.66443963857941,Champion,89.08131955023153,Low Risk,Provide loyalty rewards
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,0.2361111111111111,0.4621890547263682,0.1258635777450258,0,23.722768648772842,At Risk,17.1627585978545,High Risk,Offer retention discount
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,0.986111111111111,0.7771144278606964,0.7791716562269714,100,86.15359925073722,Champion,90.71934115691806,Low Risk,Provide loyalty rewards
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,0.027777777777777776,0.7686567164179104,0.02091585298452469,0,17.320879558850308,Lost,12.886080404215106,High Risk,Offer retention discount
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,0.375,0.47661691542288565,0.21583110722181287,50,33.165582597330236,At Risk,38.79503141188861,High Risk,Offer retention discount
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,0.013888888888888888,0.019402985074626844,0.0023259027266028004,0,1.0366513661122045,Lost,0.7658590109511393,High Risk,Offer retention discount
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,0.013888888888888888,0.26865671641791045,0.005210252394988947,0,6.137099979713322,Lost,4.576773722810047,High Risk,Offer retention discount
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,1.0,0.8124378109452737,0.8349875644804717,100,89.64825879812435,Champion,93.0612562761909,Low Risk,Provide loyalty rewards
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,0.06944444444444445,0.5119402985074627,0.03648903831982314,0,14.476145280719956,Lost,10.674663768940853,High Risk,Offer retention discount
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,0.6388888888888888,0.5626865671641791,0.4085643883566692,0,53.151862433105904,Potential Loyalist,37.82107488304608,High Risk,Offer retention discount
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,0.4722222222222222,0.8766169154228854,0.4086737748710391,0,52.76817819218817,Potential Loyalist,37.53276476978593,High Risk,Offer retention discount
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,0.15277777777777776,0.7920398009950248,0.1272798452468681,0,27.043100940886333,At Risk,19.645926479430408,High Risk,Offer retention discount
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,0.1388888888888889,0.3114427860696517,0.05477385777450258,50,13.975365587928692,Lost,25.207654902074008,High Risk,Offer retention discount
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,0.9722222222222222,0.5069651741293533,0.5610204034635226,100,71.46900851001685,Loyal,80.79665436519502,Low Risk,Provide loyalty rewards
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,0.2361111111111111,0.02487562189054726,0.048158852247605015,50,11.868310972159591,Lost,23.660438967881667,High Risk,Offer retention discount
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,0.875,0.6129353233830845,0.5597653371407517,100,69.64931995329177,Loyal,79.43816327926507,Low Risk,Provide loyalty rewards
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,0.18055555555555555,0.5766169154228856,0.11300778371407519,0,23.274871879242944,At Risk,16.89111499086183,High Risk,Offer retention discount
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,0.6805555555555555,0.6592039800995024,0.44983189019896835,0,58.399577432171,Potential Loyalist,41.55052362313341,Medium Risk,Send engagement campaign
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No,0.027777777777777776,0.30845771144278605,0.011168938835666914,0,7.727022893393509,Lost,5.739422475866797,High Risk,Offer retention discount
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,0.027777777777777776,0.6208955223880598,0.01659796425939573,0,14.192940129248136,Lost,10.561715275639122,High Risk,Offer retention discount
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,0.7222222222222222,0.6119402985074627,0.48565309506263826,100,60.55381866154368,Loyal,72.98709852084455,Low Risk,Provide loyalty rewards
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,0.9583333333333333,0.4567164179104478,0.4898328113485631,100,67.0609741454848,Loyal,77.84656655237079,Low Risk,Provide loyalty rewards
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,0.5972222222222222,0.7164179104477612,0.4420078758290347,0,55.89756213100551,Potential Loyalist,39.71313221910895,High Risk,Offer retention discount
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,0.20833333333333331,0.8044776119402984,0.16424097273397203,0,30.992524481498187,At Risk,22.423188497453776,High Risk,Offer retention discount
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,0.3472222222222222,0.5099502487562189,0.201806604642594,0,32.160158049717026,At Risk,23.111085514074798,High Risk,Offer retention discount
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,0.1111111111111111,0.6208955223880598,0.0729205047899779,0,19.779175083804756,Lost,14.469778788903676,High Risk,Offer retention discount
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,0.8333333333333333,0.56318407960199,0.5131206245394253,50,65.12183990695016,Loyal,61.275776807515484,Medium Risk,Send engagement campaign
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,0.25,0.7681592039800995,0.2017950902726603,0,33.43498769050841,At Risk,24.067265316518,High Risk,Offer retention discount
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,0.875,0.8099502487562189,0.7266949152542374,50,80.26680158529388,Champion,71.56662661269922,Low Risk,Provide loyalty rewards
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,0.9166666666666666,0.8975124378109453,0.8147971168017688,50,87.20880009495633,Champion,76.33261448720839,Low Risk,Provide loyalty rewards
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,0.4722222222222222,0.06666666666666665,0.10297301031687547,100,24.341142634897242,At Risk,47.740991924588556,Medium Risk,Send engagement campaign
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,1.0,0.8880597014925372,0.9043040714812086,100,93.9333568890991,Champion,95.92849730941828,Low Risk,Provide loyalty rewards
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,0.6527777777777778,0.818407960199005,0.541992907148121,0,64.15898660101605,Loyal,45.40927541502143,Medium Risk,Send engagement campaign
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,0.8333333333333333,0.7129353233830846,0.6276137619749448,0,72.69659027999282,Loyal,51.38437390011988,Medium Risk,Send engagement campaign
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,No,1.0,0.2373134328358209,0.3410556374355196,100,58.388494154137206,Potential Loyalist,72.0860924284253,Low Risk,Provide loyalty rewards
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,0.25,0.3597014925373134,0.11020403463522478,50,21.60219123615526,At Risk,30.65062325394032,High Risk,Offer retention discount
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,0.125,0.7577114427860697,0.09870693625644807,0,24.10250630597932,At Risk,17.583345048202247,High Risk,Offer retention discount
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,0.041666666666666664,0.5676616915422885,0.02810657700810612,0,14.144163577836682,Lost,10.467589798336979,High Risk,Offer retention discount
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,0.6527777777777778,0.6034825870646766,0.42031480287398676,50,54.99335496736412,Potential Loyalist,54.14344221115316,Medium Risk,Send engagement campaign
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,0.4305555555555555,0.6064676616915423,0.28753684598378776,100,40.85304929540458,Potential Loyalist,59.20210274163449,Medium Risk,Send engagement campaign
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No,0.6944444444444444,0.018905472636815884,0.10718726971260134,100,32.443378019018155,At Risk,53.796597165700604,Medium Risk,Send engagement campaign
7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,0.1388888888888889,0.6129353233830845,0.1021727616064849,0,21.901172487476643,At Risk,15.915015557575057,High Risk,Offer retention discount
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,0.013888888888888888,0.30646766169154227,0.005647798452468681,0,6.910820727485148,Lost,5.154876553351517,High Risk,Offer retention discount
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,0.7222222222222222,0.021393034825870627,0.12558147568165073,50,34.340008612672335,At Risk,40.12709908109599,Medium Risk,Send engagement campaign
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No,0.8888888888888888,0.9288557213930347,0.8174051215917466,100,86.82887484708613,Champion,91.03463052735584,Low Risk,Provide loyalty rewards
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,0.861111111111111,0.05970149253731341,0.16403371407516582,100,42.199822858197344,Potential Loyalist,60.82969857327217,Medium Risk,Send engagement campaign
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,0.041666666666666664,0.46019900497512434,0.02042649226234341,0,11.68770645666289,Lost,8.66364738118545,High Risk,Offer retention discount
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,0.7777777777777777,0.917910447761194,0.7069247420781136,50,77.74630974945954,Loyal,69.77510860170408,Medium Risk,Send engagement campaign
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,0.6388888888888888,0.37213930348258706,0.3096041359616802,50,45.3825070636745,Potential Loyalist,47.488859617947476,Medium Risk,Send engagement campaign
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,0.1111111111111111,0.3621890547263681,0.055528049005158446,0,13.909347499178143,Lost,10.154370379357815,High Risk,Offer retention discount
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,0.41666666666666663,0.5621890547263682,0.2431028924097274,0,37.63456345758313,At Risk,27.010408131138703,High Risk,Offer retention discount
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,No,0.625,0.07611940298507458,0.1400838246131172,50,32.12574104422618,At Risk,38.39388666010405,High Risk,Offer retention discount
5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,0.013888888888888888,0.607960199004975,0.009136652542372881,0,13.08022563734997,Lost,9.764485965300612,High Risk,Offer retention discount
8108-UXRQN,Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,0.15277777777777776,0.32139303482587056,0.06509649042004423,0,15.142831424430291,Lost,11.031641116222495,High Risk,Offer retention discount
9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,0.09722222222222221,0.5661691542288557,0.05721490420044216,0,17.500868141483693,Lost,12.839576585110557,High Risk,Offer retention discount
9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,0.5833333333333333,0.8512437810945274,0.49828435887988215,0,60.28958331041916,Loyal,42.72576568841496,Medium Risk,Send engagement campaign
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,0.6805555555555555,0.018905472636815884,0.11207511974944732,100,32.08333646493643,At Risk,53.50212674995508,Medium Risk,Send engagement campaign
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,0.125,0.8064676616915423,0.10578827376565955,0,25.360884184457227,At Risk,18.491721769514623,High Risk,Offer retention discount
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,0.4861111111111111,0.43681592039800987,0.25509510869565216,50,38.38456720023073,At Risk,42.51294985669479,Medium Risk,Send engagement campaign
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,No,0.6666666666666666,0.023880597014925342,0.12170689019896833,100,32.0125542149239,At Risk,53.40088121019808,Medium Risk,Send engagement campaign
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,No,0.6388888888888888,0.01691542288557213,0.10674972365512161,100,30.163852959471864,At Risk,52.08914110132829,Medium Risk,Send engagement campaign
3016-KSVCP,Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,0.40277777777777773,0.154228855721393,0.11620877855563745,0,23.84403936776447,At Risk,17.30198563304516,High Risk,Offer retention discount
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,0.41666666666666663,0.6348258706467661,0.2959423360353722,0,41.20087752101688,Potential Loyalist,29.420946460585796,High Risk,Offer retention discount
2424-WVHPL,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,0.013888888888888888,0.5616915422885572,0.008601234340456891,0,12.133435774944976,Lost,9.057070659506447,High Risk,Offer retention discount
7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,No,0.9166666666666666,0.654228855721393,0.6579598839351511,100,76.06963913850058,Loyal,83.76242993419967,Low Risk,Provide loyalty rewards
6067-NGCEU,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,No,0.9027777777777777,0.9233830845771144,0.8183262711864407,0,87.31182365011104,Champion,61.39223638165107,Medium Risk,Send engagement campaign
